香草[香草]	xiang1cao3	noun vanilla 香草冰激凌 xiāngcǎo bīngjilíng vanilla ice cream
自由女神像[自由女神像]	Zi4you2 Nü3shen2xiang4	Statue of Liberty
回纹针[迴紋針]	hui2wen2zhen1	paper clip
侬[儂]	nong2	pronoun 1 dialect you 2 dated [used in poems] I; me; my
佛陀[佛陀]	Fo2tuo2	noun Buddha (a title for Sakyamuni or a person who has attained enlightenment)
非营利[非營利]	fei1ying2li4	adjective nonprofit; nonprofitable
温顺[溫順]	wen1shun4	adjective docile; meek 像小羊一般温顺 xiàng xiǎo yáng yībān wēnshùn as meek as a lamb
轴承[軸承]	zhou2cheng2	noun mechanics bearing
散心[散心]	san4//xin1	verb drive away one's cares; relieve boredom
挂牌[掛牌]	gua4//pai2	verb 1 hang out one's shingle; put up one'sbrass plate 挂牌行医 guàpái xíngyī have (or open) a medical practice 2 economics (of a company) listed on the stock market; quoted 3 officially start business (by unveiling its sign) 4 sports (of a sports club) announce a list of players available for trading 5 wear a name (or an ID) badge (as required of personnel that provide a public service) 这家超市的售货员必须挂牌上岗。 Zhè jiā chāoshì de shòuhuòyuán bìxū guàpái shànggǎng. Salespeople in this supermarket must wear name badges when on duty.
证交所[證交所]	zheng4jiao1suo3	noun abbreviation = 36100352证券交易所zheng4quan4jiao1yi4suo3证券交易所 stock exchange
压铸[壓鑄]	ya1zhu4	verb metallurgy die-cast; transfer mould
东莞[東莞]	Dong1guan3	Dongguan (a city in Guangdong Province)
存折[存摺]	cun2zhe2	1 passbook 2 bankbook
胭脂[胭脂]	yan1zhi5	noun rouge
难缠[難纏]	nan2chan2	adjective (of a person) unreasonable and hard to deal with; ticklish
不足为奇[不足為奇]	bu4zu2-wei2qi2	idiom not at all surprising; nothing to be surprised at
巷弄[巷弄]	xiang4long4	1 alley 2 lane
扩音器[擴音器]	kuo4yin1qi4	loudhailer; megaphone; loudspeaker; microphone; audio amplifier
九天揽月[九天攬月]	jiu3tian1lan3yue4	to reach for the stars (idiom)
婐[婐]	wo3	maid
麃[麃]	pao2	(archaic) a type of deer
麃[麃]	biao1	to weed
刚果[剛果]	Gang1guo3	noun the Congo
偏差[偏差]	pian1cha1	noun 1 deviation; error 认识上的偏差 rènshi shàng de piānchā wrong way of looking at things; an error of judgement 偏差减为一毫米。 Piānchā jiǎn wéi yī háomǐ. The deviation is reduced to one millimetre. 2 (angle of) deviation; declination
精进[精進]	jing1jin4	1 to forge ahead vigorously 2 to dedicate oneself to progress
胚胎[胚胎]	pei1tai1	noun 1 biology embryo 2 figurative beginning or rudimentary stage (of anything)
镌刻[鐫刻]	juan1ke4	verb literary engrave; carve
祖冲之[祖沖之]	Zu3chong1zhi1	Zu Chongzhi (429-500), astronomer and mathematician
祭拜[祭拜]	ji4bai4	to offer sacrifice (to one's ancestors)
欹[欹]	yi1	verb literary lean to one side; slant; incline
沁[沁]	qin4	verb 1 ooze; seep; exude 他的额上沁出了汗珠。 Tā de é shàng qìn chū le hànzhū. His forehead was oozing sweat. 2 dialect let one's head droop downward; hang 他沁着头。 Tā qìn zhe tóu. He hung (or drooped) his head. 3 dialect put sth. into water
抠字眼[摳字眼]	kou1zi4yan3	to be fastidious about phrasing, diction, or choice of words
喵的[喵的]	miao1de5	1 drat 2 frick 3 (euphemistic variant of 妈的māde [妈的])
紧凑[緊湊]	jin3cou4	adjective compact; terse; well-knit (opp. 松散) 活动安排得很紧凑 Huódòng ānpái de hěn jǐncòu have a tight schedule 影片情节紧凑。 Yǐngpiàn qíngjié jǐncòu. The film has a well-knit plot. 会议开得很紧凑。 Huìyì kāi de hěn jǐncòu. It was a well-organized meeting. 这个商业区布局紧凑。 zhège shāngyèqū bùjú jǐncòu. The shopping area has a compact layout.
苛责[苛責]	ke1ze2	verb criticize severely; excoriate
往生[往生]	wang3sheng1	1 to be reborn 2 to live in paradise (Buddhism) 3 to die 4 (after) one's death
火龙果[火龍果]	huo3long2guo3	noun dragon fruit; pitaya; pitahaya
重拾[重拾]	chong2shi2	1 to pick up (a theme etc) 2 to regain (confidence) 3 to revive (a custom, friendship etc)
居高不下[居高不下]	ju1gao1bu4xia4	(of prices, rates etc) to remain high
齐头[齊頭]	qi2tou2	1 at the same time 2 simultaneously 3 (when stating a quantity that is a round number) exactly
参差不齐[參差不齊]	cen1ci1-bu4qi2	idiom uneven; not uniform 学生们的汉语水平参差不齐。 Xuésheng men de Hànyǔ shuǐpíng cēncībùqí. The students have different levels of Chinese proficiency .
找茬[找茬]	zhao3cha2	1 to pick fault with 2 to spot the differences 3 to nitpick 4 to pick a quarrel 5 to find complaint with
找碴[找碴]	zhao3cha2	1 to pick fault with 2 to spot the differences 3 to nitpick 4 to pick a quarrel 5 to find complaint with
维他命[維他命]	wei2ta1ming4	noun vitamin 维生素 wéishēngsù E E vitamin E 丁种维生素 dīng zhǒng wéishēngsù vitamin D
当仁不让[當仁不讓]	dang1ren2-bu4rang4	idiom not decline to shoulder a responsibility; not leave to others what one ought to do oneself; not pass on to others what one is called upon to do
开窍[開竅]	kai1//qiao4	verb 1 have one's ideas straightened out; enlightened 他一听这么说, 就开窍了。 Tā yī tīng zhème shuō, jiù kāiqiào le. He straightened his ideas out as soon as the matter was explained to him. 2 (of a child) begin to know things 3 dialect open one's eyes; widen one's view (or horizons); broaden one's mind
平行时空[平行時空]	ping2xing2shi2kong1	parallel universe
并驾齐驱[並駕齊驅]	bing4jia4-qi2qu1	idiom run neck and neck; keep abreast of sb.; keep pace with sb.; be on a par with sb.
轩轾[軒輊]	xuan1zhi4	noun literary high and low chariots—high or low; good or bad 不分轩轾 bùfēnxuānzhì equally matched; on a par
不分[不分]	bu4fen1	1 not divided 2 irrespective 3 not distinguishing between
到此一游[到此一遊]	dao4ci3yi1you2	1 to travel (somewhere) 2 (vandalism) "was here"
爱屋及乌[愛屋及烏]	ai4wu1-ji2wu1	idiom love for a person extends even to the crows on their roof; love me, love my dog; love everything about sb.
人之初，性本善[人之初，性本善]	ren2 zhi1 chu1, xing4 ben3 shan4	well-known phrase Man is born good.
三字经[三字經]	San1zi4 Jing1	Three Character Classic, 13th century reading primer consisting of Confucian tenets in lines of 3 characters
已故[已故]	yi3gu4	adjective deceased; late 已故地质学家李四光 Yǐgù dìzhìxuéjiā Lǐ Sìguāng the late geologist Li Siguang
牵线[牽線]	qian1//xian4	verb 1 (of a puppet) pull strings; manipulate or control (from behind the scenes) 2 colloquial act as go-between 他们俩谈恋爱是我牵的线。 Tāmen liǎ tán liàn'ài shì wǒ qiān de xiàn. I acted as go-between for them to meet and fall in love.
硬要[硬要]	ying4yao4	1 firmly set on doing sth 2 to insist on doing 3 determined in one's course of action
岚[嵐]	lan2	noun literary haze; vapour; mist 岚烟 lányān mountain mist 岚影湖光 lányǐnghúguāng hazy atmosphere of the mountain and shimmering light of the lake 山岚 shānlán mountain haze 晓岚 xiǎolán morning mists
放鸟[放鳥]	fang4niao3	to stand someone up
昱[昱]	yu4	literary noun sunlight; sunshine  verb shine; illuminate
号脉[號脈]	hao4mai4	verb Chinese medicine feel the pulse 为病人诊脉 wèi bìngrén zhěnmài take the pulse of a patient
雪花膏[雪花膏]	xue3hua1gao1	noun vanishing cream
蔻丹[蔻丹]	kou4dan1	noun transliteration nail polish (from “Cutex”)
窑[窯]	yao2	noun 1 kiln 石灰窑 shíhuīyáo limekiln 2 (coal) pit 小煤窑 xiǎoméiyáo small coal pit 3 cave dwelling 4 dialect brothel
钏[釧]	Chuan4	surname Chuan
戏[戲]	hu1	interjection alas; alack See 75427883於戏wu1hu1於戏wūhū
蒲扇[蒲扇]	pu2shan4	noun cattail leaf fan (made from a whole Chinese fan palm leaf)
忸怩[忸怩]	niu3ni2	adjective blushing; bashful 别这么忸忸怩怩的, 大方些。 bié zhèmeniǔniǔníní de, dàfang xiē. Don’t be shy. Just relax and take it easy. (怩怩 ní)
弦子[弦子]	xian2zi5	common name for VARIANT OF 29326592三弦san1xian2三弦 noun music sanxian (a three-stringed plucked instrument)
拉拉[拉拉]	la1la1	1 lesbian (Internet slang) 2 Labrador retriever
家当[家當]	jia1dang5	noun colloquial family belongings; property; possessions 变卖家当 biànmài jiādang sell one’s property 他把剩余的家当装进箱子。 Tā bǎ shèngyú dejiādang zhuāng jìn xiāngzi. He packed his remaining possessions into the trunk.
打牙祭[打牙祭]	da3//ya2ji4	verb dialect have sth. special to eat
造化[造化]	zao4hua4	literary noun Creator; Nature; Creation 造化钟神秀, 阴阳割昏晓。(杜甫《登泰山》) zàohuà zhōng shénxiù, yīnyáng gē hūnxiǎo. Here Creation concentrated unearthly glory, | Dark north slope, the sunlit south divide dusk and dawn. 造化赋形, 支体必双, 神理为用, 事不孤立。(刘勰《文心雕龙》) zàohuà fù xíng, zhī tǐ bì shuāng, shén lǐ wéi yòng, shì bù gūlì. Nature, creating living beings, endows them with limbs in pairs. The Divine Reason operates in such a way that nothing stands alone.  verb (of Nature or presumed divine force) create; make 夺天地造化之功 duó tiāndì zàohuà zhī gōng rob Heaven and Earth of their creative powers
道台[道臺]	dao4tai2	noun archaic intendant of a circuit (an administrative division)
行事历[行事曆]	xing2shi4li4	1 calendar 2 schedule
悠悠球[悠悠球]	you1you1qiu2	yo-yo (loanword)
纨绔[紈絝]	wan2ku4	noun literary silk clothes—rich family (25132288绔ku4绔 ku4)
刮痧[刮痧]	gua1//sha1	verb Chinese medicine popular treatment for sunstroke by scraping the patient's neck, chest or back with a small board
怆然[愴然]	chuang4ran2	adjective literary sad; sorrowful 怆然泪下 chuàngránlèixià burst into sorrowful tears
浩然[浩然]	Hao4 Ran2	Hào Rán (1932-2008), journalist and proletarian novelist
国共内战[國共內戰]	Guo2 Gong4 Nei4zhan4	Chinese Civil War, also known as War of Liberation 解放战争 Jiěfàng Zhànzhēng [解放战争]
解放战争[解放戰爭]	jie3fang4 zhan4zheng1	noun 1 war of liberation 2 Second Revolutionary Civil War; the Agrarian Revolutionary War (1927-1937)
五四运动[五四運動]	Wu3-Si4 Yun4dong4	noun history May 4th Movement of 1919 (an anti-imperialist, anti-feudal, political, and cultural movement influenced by the Russian October Revolution, led by intellectuals with some knowledge of Communist ideology)
北伐[北伐]	Bei3fa2	verb go on an expedition north-ward  noun abbreviation the Northern Expedition (1926-1927) See 19949312第一次国内革命战争di4yi1ci4guo2nei4ge2ming4zhan4zheng1第一次国内革命战争
忧患[憂患]	you1huan4	noun suffering; misery; hardship 忧患意识 yōuhuàn yìshi awareness of unexpected development; being prepared for unexpected development 忧患余生 yōuhuàn yúshēng person who has known adversity and sorrow 饱经忧患 bǎojīngyōuhuàn have gone through a good deal See 27267584内忧外患nei4you1wai4huan4内忧外患
粜[糶]	tiao4	verb dated sell (grain) (opp. 籴 dí)
鹃[鵑]	juan1	cuckoo
思旧[思舊]	si1jiu4	verb literary think fondly of past times; miss old acquaintances 思旧情绪 sījiù qíngxù nostalgic feelings
仆[僕]	pu2	noun 1 servant (opp. 主) 男仆 nánpú manservant 女仆 nǚpú maid-servant 2 archaic [man's self-deprecating form of address] your humble servant 仆以为 pú yǐwéi my humble view is that
廖[廖]	Liao4	noun a surname
比目鱼[比目魚]	bi3mu4yu2	noun flatfish; flounder
旧人[舊人]	jiu4ren2	noun 1 former subordinate or fellow worker; former staff 2 old friend 3 ex-lover
狂欢[狂歡]	kuang2huan1	verb revelry; carnival 狂欢节 Kuánghuānjié carnival 狂欢活动 kuánghuān huó·dòng jamboree 狂欢之夜 kuánghuān zhī yè night of revelry 纵情狂欢 zòngqíng kuánghuān indulge in revelry
嘉年华[嘉年華]	jia1nian2hua2	noun transliteration carnival
放空[放空]	fang4//kong1	verb (of a car, truck, etc.) travel empty (unloaded or without passengers) 回程放空(车) huíchéng fàngkōng returned unloaded
贵庚[貴庚]	gui4geng1	noun dated courteous your honourable age 贵庚多少 (= 请问贵庚)？ guìgēng duōshao ? May I ask your age?
笋子[筍子]	sun3zi5	noun 1 dialect bamboo shoot 2 VARIANT OF 31005952榫头sun3tou5榫头 sǔntou tenon
顺子[順子]	shun4zi5	a straight (poker, mahjong)
丙二醇[丙二醇]	bing3er4chun2	1 propylene glycol 2 propane-1,2-diol C3H6(OH)2
杠铃[杠鈴]	gang4ling2	noun sports barbell 杠铃片 gànglíngpiàn disc (of a barbell)
打烊[打烊]	da3//yang4	verb dialect (of shops) put up the shutters; close for the night 十点了, 该打烊了。 Shí diǎn le, gāi dǎyàng le. It’s ten o’clock; time to call it a day.
三伏天[三伏天]	san1fu2tian1	noun 1 three fu—three hottest periods of the year (i.e. 初伏, 中伏, and 末伏; altogether 30 or 40 days) 2 VARIANT OF 26996992末伏mo4fu2末伏 a the last (or third) fu—the third hottest period of the year (10 days) b the first day of the last (or third) fu (falling in early or mid-August)
假借[假借]	jia3jie4	verb make use of; in the name of 假借外力 jiǎjiè wàilì make use of outside forces 假借种种名义 jiǎjiè zhǒngzhǒng míngyì under all kinds of guise; seize all kinds of pretexts  noun linguistics phonetic loan characters; characters adopted to represent homophones, e.g. 裘 qiú (fur) for 求 qiú (entreat) —one of the six categories of Chinese characters (六书)
哑铃[啞鈴]	ya3ling2	noun sports dumbbell
科系[科系]	ke1xi4	department
攻读[攻讀]	gong1du2	verb 1 assiduously study; diligently study 2 specialise in 攻读法律 gōngdú fǎlǜ study law 攻读博士学位 gōngdú bóshì xuéwèi study for a doctorate
雏菊[雛菊]	chu2ju2	noun daisy; marguerite
部落[部落]	bu4luo4	noun tribe 土著部落 tǔzhù bùluò aboriginal tribe; native tribe 原始部落 yuánshǐ bùluò primitive tribe
中亚[中亞]	Zhong1 Ya4	noun Central Asia
划时代[劃時代]	hua4shi2dai4	adjective marking a new epoch; epoch-making 划时代的宣言 huàshídài de xuānyán epoch-making declaration 具有划时代的意义 jùyǒu huàshídài de yìyì have epoch-making significance
斋[齋]	zhai1	noun 1 vegetarian diet adopted for religious reasons 吃斋 chīzhāi be on a vegetarian diet as a religious observance 2 dated room or building 学生宿舍第三斋 xuésheng sùshè dì-sān zhāi Student Hostel No. 3  verb 1 VARIANT OF 35740928斋戒zhai1jie4斋戒 abstain from meat, wine, etc. (when offering sacrifices to gods or ancestors); fast 2 give alms (to a monk)
蚵仔煎[蚵仔煎]	e2zi3jian1	oyster omelette (Taiwanese, POJ pr. [ô-á-chian])
围兜[圍兜]	wei2dou1	bib
俏皮话[俏皮話]	qiao4pi5hua4	noun 1 witty remark; witticism; wisecrack 2 sarcastic remark 3 VARIANT OF 33267200歇后语xie1hou4yu3歇后语 two-part allegorical saying, of which the first part, always stated, is descriptive, while the second part, sometimes unstated, carries the message, e.g. (泥菩萨过河——自身难保) like a clay idol fording a river—hardly able to save oneself (let alone anyone else)
嚣张[囂張]	xiao1zhang1	adjective rampant; arrogant; aggressive 嚣张一时 xiāozhāngyīshí run rampant (or wild) for a time 他也太嚣张了。 Tā yě tài xiāozhāng le. He’s really too aggressive.
撂[撂]	liao4	verb colloquial 1 put down; leave behind; drop 撂下活儿 liào xià huór drop one’s work; leave one’s work behind 把帘子撂下来。 Bǎ liánzi liàoxia lái. Let down the curtain. 听说有急诊, 医生撂下筷子就走。 Tīngshuō yǒu jízhěn, yīshēng liàoxia kuàizi jiù zǒu. Hearing that there was an emergency case, the doctor put down his chopsticks and left at once. 这事儿一撂就是半个多月。 zhè shìr yī liào jiùshì bàn ge duō yuè. The matter has been shelved for over a fortnight. 2 throw down; knock down See 65743075撂倒liao4dao3撂倒 3 throw away; cast aside; abandon 他辞了职, 把这烂摊子全撂给我们了。 Tā cí le zhí, bǎ zhè làntānzi quán liào gěi wǒmen le. He resigned and left us to take care of the awful mess.
嘹亮[嘹亮]	liao2liang4	adjective resonant; loud and clear 歌声嘹亮。 Gēshēng liáoliàng. The singing is loud and clear.
梆[梆]	bang1	noun watchman's clapper  onomatopoeia rat-tat; rat-a-tat 梆梆梆的敲门声 bāng bāng bāng de qiāo mén shēng a rat-a-tat at the door; a knock at the door  verb dialect bang; strike with a stick, etc. 拿擀面杖梆他 Ná gǎnmiànzhàng bāng tā bang him with a rolling pin
一针见血[一針見血]	yi1zhen1-jian4xie3	idiom pierce to the truth with one pertinent remark; hit the nail on the head 他一针见血点出了我们的毛病。 Tā yīzhēnjiànxiě diǎnchū le wǒmen de máobing. He put his finger on our weak spot. 他一针见血地指出, 那个男孩误入歧途, 责任在家长与教师。 Tā yīzhēnjiànxiě de zhǐchū,  nà ge nánhái wùrùqítú, zérèn zài jiāzhǎng yǔ jiàoshī. He hit the nail on the head when he said that the boy’s going astray was the fault of his parents and teachers.
油漆[油漆]	you2qi1	noun paint 一层油漆 Yī céng yóuqī a coat of paint 油漆未干！ Yóuqī wèi gān! Wet paint! or Fresh paint!  verb cover with paint; paint 把大门油漆一下 Bǎ dàmén yóuqī yīxià have the gate painted
笑面虎[笑面虎]	xiao4mian4hu3	noun smiling tiger—outwardly kind but inwardly cruel person
承蒙[承蒙]	cheng2meng2	verb polite expression be accorded (a kindness); be granted (a favour) 承蒙照顾, 十分感谢。 Chéngméng zhàogu, shífēn gǎnxiè. I am very grateful to you for your kind treatment. 承蒙热情接待, 不胜荣幸。 Chéngméng rèqíng jiēdài, bù shèng róngxìng. I feel greatly honoured to be given such a warm reception.
中意[中意]	zhong4//yi4	verb to one's liking; take (or catch) the fancy of 这衣服不中我的意。 Zhè yīfu bù zhòng wǒ de yì. This clothing is not to my taste. 她花了一千元买了一件很中意的西服连衣裙。 Tā huā le yīqiān yuán mǎi le yī jiàn hěn zhòngyì de xīfú liányīqún. She paid 1,000 yuan for a dress that had taken her fancy.
贵人多忘事[貴人多忘事]	gui4ren2 duo1 wang4 shi4	idiom a person of your eminence has a short memory (said with good-natured sarcasm); important people have short memories 你是“贵人多忘(事)”, 哪能记得我呀？ Nǐ shì “guìrénduōwàng”, nǎnéng jìde wǒ ya? The higher the rank, the shorter the memory. How would you remember me?
无地自容[無地自容]	wu2di4-zi4rong2	idiom nowhere to hide one's shame; feel too ashamed to show one's face; look for a hole to crawl into
蓦然[驀然]	mo4ran2	adverb literary suddenly 蓦然回首 mòránhuíshǒu suddenly look back 蓦然想起 Mòrán xiǎngqǐ suddenly remember
姊姊[姊姊]	zi3zi3	1 older sister 2 Taiwan pr. [jiějie]
高就[高就]	gao1jiu4	verb polite expression move up to a higher position; get promotion 另有高就 lìngyǒugāojiù have landed a better job 听说你要高就了。 tīngshuō nǐ yào gāojiù le. I’ve heard you’re moving up.
瑄[瑄]	xuan1	noun archaic round flat piece of jade for worshiping Heaven
芸[蕓]	yun2	meaningless bound form 
胶带[膠帶]	jiao1dai4	noun 1 transparent packing tape; adhesive tape 2 magnetic tape made of plastic 3 rubberized tape; adhesive tape
冈本[岡本]	Gang1ben3	Okamoto (Japanese surname and place name)
荷包[荷包]	he2bao5	noun 1 small bag (for carrying money and odds and ends); pouch 2 pocket (in a garment)
接壤[接壤]	jie1rang3	verb literary border on; contiguous to; bounded by 法国和瑞士接壤。 Fǎguó hé Ruìshì jiērǎng. France borders on Switzerland.
桥墩[橋墩]	qiao2dun1	noun (bridge) pier
前仰后合[前仰後合]	qian2yang3-hou4he2	idiom rock (with laughter) 笑得前仰后合 xiào de qián yǎng hòu hé rock (or shake) with laughter; double up with mirth
橹[櫓]	lu3	noun scull; sweep 摇橹 yáolǔ scull  noun archaic big shield
竹篙[竹篙]	zhu2 gao1	bamboo punt-pole
缆绳[纜繩]	lan3sheng2	noun thick rope; cable; anchor line
里脊[裡脊]	li3ji5	noun tenderloin 糖醋里脊 tángcùlǐji sweet and sour tenderloin
扁柏[扁柏]	bian3bai3	noun botany false cypress (Chamaecyparis)
榕树[榕樹]	rong2shu4	noun 1 botany small-fruited fig tree; banyan; banian (Ficus)
话剧[話劇]	hua4ju4	noun modern drama; stage play
毒瘤[毒瘤]	du2liu2	noun malignant tumour; cancer
摇橹[搖櫓]	yao2lu3	scull
蚕茧[蠶繭]	can2jian3	noun silkworm cocoon
亡命之徒[亡命之徒]	wang2ming4zhi1tu2	desperado; daredevil
牠[牠]	ta1	pronoun it 这杯牛奶你喝了它。 Zhè bēi niúnǎi nǐ hē le tā. Drink up this glass of milk. 有个东西在黑影里蹲着, 我也看不清它到底是猫还是狗。 Yǒu ge dōngxi zài hēiyǐng lǐ dūn zhe, wǒ yě kàn bù qīng tā dàodǐ shì māo háishi gǒu. Some animal was crouching in the shadow but I couldn’t make out whether it was a cat or a dog. 这些画报我都看过了, 你把它拿去吧。 Zhèxiē huàbào wǒ dōu kàn guò le, nǐ bǎ tā ná qù ba. I’ve finished with these magazines, you can have them.  noun (Tā) a surname
口哨[口哨]	kou3shao4	whistle
褂[褂]	gua4	noun Chinese-style unlined garment; gown 短褂儿 Duǎn guàr jacket
散热[散熱]	san4//re4	verb 1 dissipate heat 2 radiate heat
筋疲力竭[筋疲力竭]	jin1pi2-li4jie2	idiom exhausted; played out; worn out; tired out; all in; dead-beat; dog-tired
藉[藉]	jie4	1 sleeping mat 2 to placate
凉亭[涼亭]	liang2ting2	noun wayside pavilion; kiosk
青菜[青菜]	qing1cai4	noun vegetables; greens; greenstuff 有机蔬菜 yǒujī shūcài organic vegetable 蔬菜栽培 shūcài zāipéi vegetable growing (or farming)
脑溢血[腦溢血]	nao3yi4xue4	noun medicine cerebral haemorrhage
伙计[伙計]	huo3ji5	noun 1 partner 2 colloquial fellow; mate 伙计, 上哪儿去？ Huǒji, shàng nǎr qù？ Where are you going, mate? 他是我的老伙计。 Tā shì wǒ de lǎo huǒji. He’s an old pal of mine. 3 dated salesman; sales clerk; shop assistant; farm labourer
偏执[偏執]	pian1zhi2	adjective immoderate and stubborn 偏执的批评家 piānzhí de pīpíngjiā bigoted critic
下作[下作]	xia4zuo5	noun dialect assistant; helper 打下作 Dǎxià zuo act as assistant  adjective 1 low-down; mean; obscene 下作胚 xiàzuo pēi lewd; lecher 那个老家伙太下作。 Nàge lǎojiā huǒ tài xiàzuo. That man is a mean old bird. 2 dialect greedy (for food); gluttonous
鞋带[鞋帶]	xie2dai4	noun shoelace; shoestring 系鞋带 jì xiédài do up (or tie) one’s shoelace
峡湾[峽灣]	xia2wan1	noun geography fiord
爱沙尼亚[愛沙尼亞]	Ai4sha1ni2ya4	Estonia
器皿[器皿]	qi4min3	noun household utensils; containers (esp. for use in the house) 玻璃器皿 bō lí qì mǐn glassware (皿皿 mǐn)
娉[娉]	ping1	adjective literary beautiful; graceful
抽调[抽調]	chou1diao4	verb transfer (personnel or material) 抽调干部支援农业 chōudiào gànbù zhīyuán nóngyè transfer cadres to strengthen the agricultural front 抽调部分兵力向北增援 chōudiào bùfen bīnglì xiàng běi zēngyuán move part of the troops to the north as reinforcements 抽调技术人员支援新厂 chōudiào jìshù rényuán zhīyuán xīn chǎng transfer technical personnel to aid the new plant
妈祖[媽祖]	Ma1zu3	noun Mazu (legendary goddess of the sea mainly worshipped in the coastal areas in southeast China)
修女[修女]	xiu1nü3	noun nun (of the Roman Catholic and Greek Orthodox churches); sister; conventual 当修女 Dāng xiūnǚ become a nun; enter a convent
众生[眾生]	zhong4sheng1	noun literary all living creatures
味精[味精]	wei4jing1	noun monosodium glutamate (MSG); gourmet powder
阴阳[陰陽]	yin1yang2	noun 1 philosophy (in Chinese thought) yin and yang (the two opposing principles in nature, the former feminine and negative, the latter masculine and positive) 2 ancient Chinese astronomy (esp. the study of the movements of the celestial bodies) 阴阳交错。 yīnyáng jiāocuò The yin and yang forces are opposing but complementary to each other. 3 occult arts (e.g. astrology, geomancy, etc.) 4 VARIANT OF 34698240阴阳生yin1yang2sheng1阴阳生 dated yin-yang adept (e.g. astrologer, diviner, geomancer, etc.)
富农[富農]	fu4nong2	noun history rich peasant
体恤[體恤]	ti3xu4	verb understand and sympathize with; show solicitude for 体恤烈士遗孤 Tǐxù lièshì yígū show solicitude for the children of revolutionary martyrs
君子一言，驷马难追[君子一言，駟馬難追]	jun1zi3 yi1 yan2, si4ma3 nan2 zhui1	idiom What is said can't be retracted. or Live up to one's word.
美丽岛[美麗島]	Mei3li4 Dao3	Formosa (from Ilha Formosa, "Beautiful Isle", the name given to Taiwan Island by passing Portuguese mariners in 1544)
连战[連戰]	Lian2 Zhan4	Lien Chan (1936-), Taiwanese politician, former vice-president and chairman of Guomintang
衬衣[襯衣]	chen4yi1	noun 1 underclothes; undergarments 2 shirt
占卦[占卦]	zhan1//gua4	verb divine by means of the Eight Trigrams (八卦)
裴[裴]	Pei2	noun a surname
深蹲[深蹲]	shen1dun1	squat (exercise)
越位[越位]	yue4//wei4	verb 1 sports be offside; stand offside 被判越位 bèi pàn yuèwèi be caught (or ruled) offside 前锋没有越位。 qiánfēng méiyǒu yuèwèi. The forward is onside. 裁判判进球无效, 因为有个球员越位。 Cáipàn pàn jìn qiú wúxiào, yīnwèi yǒu ge qiúyuán yuèwèi. The referee disallowed the goal because one of the players was offside. 2 overstep (or exceed) one's position
投放[投放]	tou2fang4	verb 1 throw in; put in 投放鱼饵 tóufàng yú'ěr throw in the bait 往井里投放毒药 wǎng jǐng lǐ tóufàng dúyào put poison into a well 2 put (money) into circulation; put (goods) on the market 新产品已投放市场。 xīnchǎnpǐn yǐ tóufàng shìchǎng. The new product has been put on market.
头球[頭球]	tou2qiu2	noun sports header 头球破门 tóuqiúpòmén head the ball into the goal
角球[角球]	jiao3qiu2	noun sports (in football, etc.) corner; corner kick 判罚角球 pànfá jiǎoqiú award a corner
罚球[罰球]	fa2//qiu2	verb sports (in basketball) foul shot; free throw; (in football) penalty kick 罚点球 fá diǎn qiú take a spot kick 罚角球 fá jiǎoqiú take a corner kick 罚任意球 fá rènyìqiú take a free kick
发球[發球]	fa1//qiu2	verb serve a ball 发球得分 fāqiú défēn ace 发球上网 fāqiú shàngwǎng serve and volley 发球不过网 fāqiú bùguò wǎng serve a ball into the net 该谁发球？ Gāi shuí fāqiú？ Whose service is it? 他(的)发球发得好。 Tā fāqiú fā de hǎo. He has a very good serve. or He serves well. 他发了一个怪球。 Tā fā le yī ge guài qiú. He made a tricky serve.
任意球[任意球]	ren4yi4qiu2	noun 1 (of football) free kick 判给一个任意球 pàngěi yī ge rènyìqiú award sb. a free kick 有争议的任意球 yǒu zhēngyì derènyìqiú disputed free kick 2 (of hand ball) free throw
乌龙球[烏龍球]	wu1long2qiu2	noun sports own goal
搞乌龙[搞烏龍]	gao3wu1long2	1 to mess something up 2 see also 乌龙球wūlóngqiú [乌龙球]
鲔[鮪]	wei3	noun 1 archaic sturgeon 2 yaito tuna
寿礼[壽禮]	shou4li3	noun birthday present (for an elderly person)
大暑[大暑]	da4shu3	noun 1 Greater Heat—the 12th of the 24 solar terms 2 the day marking the beginning of the 12th solar term (July 22, 23, or 24, in the midst of the three fu (伏) or ten-day periods when the heat is greatest) See SOLAR TERMS
份子[份子]	fen4zi5	noun 1 one's share of expenses for a joint undertaking, as in buying a gift for a mutual friend 凑份子 còufènzi club together (to present a gift to sb.) 2 a gift of money
不肖[不肖]	bu4xiao4	adjective literary (of children) unworthy
一世[一世]	yi1shi4	noun 1 all one's life; lifetime 他一世没出过远门。 Tā yī shì méi chū guò yuǎnmén. All his life he’s never been away from home. 2 age 固一世之雄也, 而今安在哉？(苏轼《前赤壁赋》) Gù yīshì zhī xióng yě, érjīn ānzài zāi? Truly he was the hero of his age, but where is he now?
